seed,equation,elastin_injury_val,production_mechanosensitivity_injury_val,degradation_mechanosensitivity_injury_val,load_control_coefficient
195,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.22 * (1.24 * exp(-(abs((Z - -0.82) / 5.19) ^ 5.29 + abs(atan2(sin(atan2(Y, X) + -2.32), cos(atan2(Y, X) + -2.32)) / 2.58) ^ 4.72)) +
1.38 * exp(-(abs((Z - 2.58) / 4.74) ^ 5.63 + abs(atan2(sin(atan2(Y, X) + -3.94), cos(atan2(Y, X) + -3.94)) / 2.23) ^ 4.62)) +
0.93 * exp(-(abs((Z - 1.62) / 5.15) ^ 4.43 + abs(atan2(sin(atan2(Y, X) + -4.11), cos(atan2(Y, X) + -4.11)) / 3.66) ^ 5.50)) +
0.97 * exp(-(abs((Z - 0.80) / 6.15) ^ 5.41 + abs(atan2(sin(atan2(Y, X) + -2.42), cos(atan2(Y, X) + -2.42)) / 2.61) ^ 5.23))))",0.75,0.56,0.42,0.033
200,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.21 * (1.32 * exp(-(abs((Z - 1.45) / 4.82) ^ 5.72 + abs(atan2(sin(atan2(Y, X) + -4.39), cos(atan2(Y, X) + -4.39)) / 0.97) ^ 4.63)) +
1.27 * exp(-(abs((Z - 1.08) / 6.11) ^ 7.20 + abs(atan2(sin(atan2(Y, X) + -0.10), cos(atan2(Y, X) + -0.10)) / 4.26) ^ 4.49)) +
1.20 * exp(-(abs((Z - 0.83) / 4.33) ^ 3.70 + abs(atan2(sin(atan2(Y, X) + -1.15), cos(atan2(Y, X) + -1.15)) / 4.39) ^ 5.94)) +
1.01 * exp(-(abs((Z - 0.64) / 4.87) ^ 5.47 + abs(atan2(sin(atan2(Y, X) + 3.20), cos(atan2(Y, X) + 3.20)) / 2.98) ^ 5.36))))",0.78,0.62,0.07,0.033
201,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.31 * (0.76 * exp(-(abs((Z - 1.92) / 5.88) ^ 5.56 + abs(atan2(sin(atan2(Y, X) + 4.48), cos(atan2(Y, X) + 4.48)) / 2.29) ^ 4.38)) +
0.79 * exp(-(abs((Z - -2.20) / 5.50) ^ 3.96 + abs(atan2(sin(atan2(Y, X) + -2.37), cos(atan2(Y, X) + -2.37)) / 3.03) ^ 5.53)) +
0.74 * exp(-(abs((Z - -1.45) / 5.79) ^ 5.53 + abs(atan2(sin(atan2(Y, X) + 2.31), cos(atan2(Y, X) + 2.31)) / 3.13) ^ 5.98)) +
0.95 * exp(-(abs((Z - -1.35) / 7.76) ^ 4.59 + abs(atan2(sin(atan2(Y, X) + -3.42), cos(atan2(Y, X) + -3.42)) / 3.15) ^ 5.10))))",0.80,0.60,0.28,0.034
202,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.38 * (0.85 * exp(-(abs((Z - 5.78) / 3.80) ^ 5.88 + abs(atan2(sin(atan2(Y, X) + 4.34), cos(atan2(Y, X) + 4.34)) / 2.57) ^ 7.37)) +
1.03 * exp(-(abs((Z - -2.52) / 4.84) ^ 6.14 + abs(atan2(sin(atan2(Y, X) + -0.39), cos(atan2(Y, X) + -0.39)) / 2.97) ^ 5.65)) +
0.84 * exp(-(abs((Z - 0.45) / 4.14) ^ 4.83 + abs(atan2(sin(atan2(Y, X) + 3.34), cos(atan2(Y, X) + 3.34)) / 3.68) ^ 4.91)) +
0.89 * exp(-(abs((Z - -0.99) / 6.39) ^ 5.86 + abs(atan2(sin(atan2(Y, X) + 2.54), cos(atan2(Y, X) + 2.54)) / 2.92) ^ 4.04))))",0.77,0.59,0.44,0.034
204,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.24 * (1.30 * exp(-(abs((Z - 4.62) / 8.14) ^ 6.24 + abs(atan2(sin(atan2(Y, X) + -3.48), cos(atan2(Y, X) + -3.48)) / 3.72) ^ 4.71)) +
1.06 * exp(-(abs((Z - -0.20) / 4.34) ^ 4.29 + abs(atan2(sin(atan2(Y, X) + -5.41), cos(atan2(Y, X) + -5.41)) / 4.15) ^ 5.35)) +
0.80 * exp(-(abs((Z - 1.33) / 4.31) ^ 7.04 + abs(atan2(sin(atan2(Y, X) + -3.48), cos(atan2(Y, X) + -3.48)) / 3.23) ^ 6.13)) +
1.03 * exp(-(abs((Z - -2.29) / 5.39) ^ 6.44 + abs(atan2(sin(atan2(Y, X) + -5.38), cos(atan2(Y, X) + -5.38)) / 1.24) ^ 6.40))))",0.78,0.63,0.34,0.033
205,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.23 * (1.35 * exp(-(abs((Z - 0.65) / 5.92) ^ 6.50 + abs(atan2(sin(atan2(Y, X) + 0.08), cos(atan2(Y, X) + 0.08)) / 3.00) ^ 4.39)) +
1.07 * exp(-(abs((Z - -1.13) / 4.75) ^ 5.45 + abs(atan2(sin(atan2(Y, X) + 2.34), cos(atan2(Y, X) + 2.34)) / 1.83) ^ 5.52)) +
0.89 * exp(-(abs((Z - -3.56) / 2.98) ^ 5.93 + abs(atan2(sin(atan2(Y, X) + 2.69), cos(atan2(Y, X) + 2.69)) / 3.13) ^ 5.68)) +
1.24 * exp(-(abs((Z - -1.45) / 4.24) ^ 5.74 + abs(atan2(sin(atan2(Y, X) + 2.55), cos(atan2(Y, X) + 2.55)) / 3.46) ^ 3.65))))",0.80,0.57,0.44,0.033
206,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.29 * (0.96 * exp(-(abs((Z - -1.85) / 5.21) ^ 6.20 + abs(atan2(sin(atan2(Y, X) + -0.06), cos(atan2(Y, X) + -0.06)) / 3.39) ^ 4.05)) +
1.09 * exp(-(abs((Z - -4.90) / 6.52) ^ 4.91 + abs(atan2(sin(atan2(Y, X) + -1.01), cos(atan2(Y, X) + -1.01)) / 2.79) ^ 4.27)) +
0.57 * exp(-(abs((Z - 1.87) / 4.48) ^ 5.50 + abs(atan2(sin(atan2(Y, X) + -2.33), cos(atan2(Y, X) + -2.33)) / 3.27) ^ 4.36)) +
0.99 * exp(-(abs((Z - -1.79) / 4.35) ^ 4.46 + abs(atan2(sin(atan2(Y, X) + 6.01), cos(atan2(Y, X) + 6.01)) / 3.05) ^ 4.30))))",0.79,0.59,0.52,0.033
207,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.26 * (1.00 * exp(-(abs((Z - -2.45) / 4.65) ^ 5.35 + abs(atan2(sin(atan2(Y, X) + -6.52), cos(atan2(Y, X) + -6.52)) / 3.22) ^ 4.61)) +
0.57 * exp(-(abs((Z - -1.33) / 3.71) ^ 6.02 + abs(atan2(sin(atan2(Y, X) + 0.12), cos(atan2(Y, X) + 0.12)) / 3.89) ^ 6.19)) +
1.05 * exp(-(abs((Z - 0.24) / 4.09) ^ 5.32 + abs(atan2(sin(atan2(Y, X) + -1.31), cos(atan2(Y, X) + -1.31)) / 2.47) ^ 4.35)) +
1.42 * exp(-(abs((Z - 2.96) / 3.95) ^ 5.42 + abs(atan2(sin(atan2(Y, X) + -7.03), cos(atan2(Y, X) + -7.03)) / 4.41) ^ 5.28))))",0.76,0.60,0.47,0.034
209,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.24 * (1.20 * exp(-(abs((Z - 3.10) / 5.32) ^ 4.61 + abs(atan2(sin(atan2(Y, X) + -1.65), cos(atan2(Y, X) + -1.65)) / 3.57) ^ 4.46)) +
0.73 * exp(-(abs((Z - -1.22) / 4.81) ^ 6.44 + abs(atan2(sin(atan2(Y, X) + 3.16), cos(atan2(Y, X) + 3.16)) / 2.65) ^ 3.16)) +
1.44 * exp(-(abs((Z - -1.07) / 5.36) ^ 4.65 + abs(atan2(sin(atan2(Y, X) + 0.70), cos(atan2(Y, X) + 0.70)) / 3.66) ^ 4.51)) +
1.17 * exp(-(abs((Z - -2.23) / 3.74) ^ 5.79 + abs(atan2(sin(atan2(Y, X) + 2.91), cos(atan2(Y, X) + 2.91)) / 2.50) ^ 6.07))))",0.76,0.61,0.38,0.032
210,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.26 * (0.74 * exp(-(abs((Z - 3.00) / 5.01) ^ 3.79 + abs(atan2(sin(atan2(Y, X) + -2.19), cos(atan2(Y, X) + -2.19)) / 2.15) ^ 6.10)) +
1.22 * exp(-(abs((Z - 4.39) / 4.06) ^ 6.59 + abs(atan2(sin(atan2(Y, X) + -1.88), cos(atan2(Y, X) + -1.88)) / 1.87) ^ 6.09)) +
1.03 * exp(-(abs((Z - -1.24) / 4.16) ^ 5.83 + abs(atan2(sin(atan2(Y, X) + -1.90), cos(atan2(Y, X) + -1.90)) / 1.80) ^ 5.82)) +
1.21 * exp(-(abs((Z - -1.97) / 5.33) ^ 6.14 + abs(atan2(sin(atan2(Y, X) + -1.22), cos(atan2(Y, X) + -1.22)) / 2.84) ^ 5.65))))",0.79,0.62,0.25,0.034
211,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.24 * (1.16 * exp(-(abs((Z - 2.13) / 4.97) ^ 5.97 + abs(atan2(sin(atan2(Y, X) + 2.86), cos(atan2(Y, X) + 2.86)) / 2.78) ^ 4.27)) +
1.16 * exp(-(abs((Z - 1.56) / 4.42) ^ 6.75 + abs(atan2(sin(atan2(Y, X) + -4.03), cos(atan2(Y, X) + -4.03)) / 3.16) ^ 4.63)) +
1.15 * exp(-(abs((Z - -2.39) / 5.41) ^ 6.48 + abs(atan2(sin(atan2(Y, X) + -5.15), cos(atan2(Y, X) + -5.15)) / 3.31) ^ 5.59)) +
0.92 * exp(-(abs((Z - -4.87) / 6.25) ^ 6.14 + abs(atan2(sin(atan2(Y, X) + 2.09), cos(atan2(Y, X) + 2.09)) / 2.39) ^ 4.00))))",0.77,0.59,0.16,0.034
216,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.27 * (0.64 * exp(-(abs((Z - 2.09) / 4.20) ^ 4.30 + abs(atan2(sin(atan2(Y, X) + 3.30), cos(atan2(Y, X) + 3.30)) / 4.39) ^ 4.78)) +
1.13 * exp(-(abs((Z - -0.66) / 4.87) ^ 6.13 + abs(atan2(sin(atan2(Y, X) + -3.32), cos(atan2(Y, X) + -3.32)) / 3.16) ^ 4.59)) +
0.89 * exp(-(abs((Z - 1.80) / 3.74) ^ 4.95 + abs(atan2(sin(atan2(Y, X) + 3.32), cos(atan2(Y, X) + 3.32)) / 3.67) ^ 5.53)) +
1.03 * exp(-(abs((Z - 2.50) / 6.82) ^ 4.88 + abs(atan2(sin(atan2(Y, X) + 4.80), cos(atan2(Y, X) + 4.80)) / 4.73) ^ 5.46))))",0.80,0.62,0.22,0.034
218,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.25 * (0.91 * exp(-(abs((Z - 1.25) / 5.83) ^ 6.24 + abs(atan2(sin(atan2(Y, X) + -2.96), cos(atan2(Y, X) + -2.96)) / 2.72) ^ 5.23)) +
0.95 * exp(-(abs((Z - 0.80) / 5.07) ^ 5.51 + abs(atan2(sin(atan2(Y, X) + 1.81), cos(atan2(Y, X) + 1.81)) / 2.61) ^ 4.05)) +
1.04 * exp(-(abs((Z - 0.98) / 4.79) ^ 5.76 + abs(atan2(sin(atan2(Y, X) + 4.90), cos(atan2(Y, X) + 4.90)) / 3.00) ^ 5.89)) +
1.60 * exp(-(abs((Z - -0.83) / 4.04) ^ 5.86 + abs(atan2(sin(atan2(Y, X) + 0.71), cos(atan2(Y, X) + 0.71)) / 2.74) ^ 4.15))))",0.80,0.61,0.43,0.034
219,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.29 * (0.56 * exp(-(abs((Z - -2.45) / 4.39) ^ 6.35 + abs(atan2(sin(atan2(Y, X) + -1.80), cos(atan2(Y, X) + -1.80)) / 3.56) ^ 4.79)) +
1.22 * exp(-(abs((Z - 4.53) / 6.06) ^ 6.60 + abs(atan2(sin(atan2(Y, X) + 0.77), cos(atan2(Y, X) + 0.77)) / 3.90) ^ 4.33)) +
0.73 * exp(-(abs((Z - -1.77) / 4.08) ^ 3.77 + abs(atan2(sin(atan2(Y, X) + -0.39), cos(atan2(Y, X) + -0.39)) / 3.28) ^ 3.85)) +
1.15 * exp(-(abs((Z - 3.04) / 7.00) ^ 6.05 + abs(atan2(sin(atan2(Y, X) + -0.07), cos(atan2(Y, X) + -0.07)) / 3.91) ^ 5.00))))",0.78,0.58,0.43,0.035
220,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.32 * (0.93 * exp(-(abs((Z - 4.40) / 4.26) ^ 4.57 + abs(atan2(sin(atan2(Y, X) + -4.13), cos(atan2(Y, X) + -4.13)) / 3.52) ^ 4.47)) +
1.30 * exp(-(abs((Z - -5.24) / 5.82) ^ 4.76 + abs(atan2(sin(atan2(Y, X) + 5.30), cos(atan2(Y, X) + 5.30)) / 3.49) ^ 6.73)) +
1.08 * exp(-(abs((Z - 0.63) / 3.89) ^ 4.95 + abs(atan2(sin(atan2(Y, X) + 0.57), cos(atan2(Y, X) + 0.57)) / 2.32) ^ 4.84)) +
1.02 * exp(-(abs((Z - 1.47) / 4.31) ^ 6.43 + abs(atan2(sin(atan2(Y, X) + -3.89), cos(atan2(Y, X) + -3.89)) / 2.79) ^ 4.64))))",0.79,0.57,0.47,0.035
221,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.28 * (1.02 * exp(-(abs((Z - 1.11) / 3.83) ^ 5.40 + abs(atan2(sin(atan2(Y, X) + -0.29), cos(atan2(Y, X) + -0.29)) / 3.64) ^ 5.26)) +
0.73 * exp(-(abs((Z - -3.47) / 5.24) ^ 4.01 + abs(atan2(sin(atan2(Y, X) + -5.36), cos(atan2(Y, X) + -5.36)) / 2.80) ^ 3.76)) +
1.12 * exp(-(abs((Z - -0.41) / 3.08) ^ 5.22 + abs(atan2(sin(atan2(Y, X) + 0.22), cos(atan2(Y, X) + 0.22)) / 2.75) ^ 6.55)) +
0.80 * exp(-(abs((Z - 0.14) / 6.21) ^ 6.54 + abs(atan2(sin(atan2(Y, X) + -0.55), cos(atan2(Y, X) + -0.55)) / 3.40) ^ 6.16))))",0.77,0.58,0.48,0.034
222,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.26 * (1.01 * exp(-(abs((Z - 2.71) / 5.40) ^ 3.21 + abs(atan2(sin(atan2(Y, X) + 1.56), cos(atan2(Y, X) + 1.56)) / 2.42) ^ 5.71)) +
0.85 * exp(-(abs((Z - -2.72) / 5.62) ^ 3.76 + abs(atan2(sin(atan2(Y, X) + 3.15), cos(atan2(Y, X) + 3.15)) / 2.11) ^ 5.78)) +
1.01 * exp(-(abs((Z - -0.62) / 4.33) ^ 6.51 + abs(atan2(sin(atan2(Y, X) + 2.58), cos(atan2(Y, X) + 2.58)) / 2.05) ^ 4.81)) +
1.13 * exp(-(abs((Z - -0.67) / 4.15) ^ 4.32 + abs(atan2(sin(atan2(Y, X) + -5.15), cos(atan2(Y, X) + -5.15)) / 2.85) ^ 5.88))))",0.77,0.62,0.39,0.035
223,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.26 * (1.18 * exp(-(abs((Z - 0.99) / 5.55) ^ 3.22 + abs(atan2(sin(atan2(Y, X) + 0.78), cos(atan2(Y, X) + 0.78)) / 4.02) ^ 5.62)) +
1.28 * exp(-(abs((Z - -3.82) / 3.81) ^ 5.39 + abs(atan2(sin(atan2(Y, X) + -1.58), cos(atan2(Y, X) + -1.58)) / 3.77) ^ 6.13)) +
0.91 * exp(-(abs((Z - 0.56) / 5.41) ^ 3.88 + abs(atan2(sin(atan2(Y, X) + 3.52), cos(atan2(Y, X) + 3.52)) / 1.92) ^ 5.17)) +
0.90 * exp(-(abs((Z - -0.53) / 4.71) ^ 4.75 + abs(atan2(sin(atan2(Y, X) + 0.27), cos(atan2(Y, X) + 0.27)) / 2.80) ^ 4.44))))",0.79,0.59,0.37,0.033
226,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.24 * (1.25 * exp(-(abs((Z - 3.92) / 5.56) ^ 4.52 + abs(atan2(sin(atan2(Y, X) + -3.44), cos(atan2(Y, X) + -3.44)) / 4.34) ^ 4.93)) +
0.95 * exp(-(abs((Z - -2.91) / 5.16) ^ 5.64 + abs(atan2(sin(atan2(Y, X) + -1.66), cos(atan2(Y, X) + -1.66)) / 3.18) ^ 3.44)) +
1.19 * exp(-(abs((Z - -2.65) / 5.46) ^ 4.50 + abs(atan2(sin(atan2(Y, X) + 0.80), cos(atan2(Y, X) + 0.80)) / 2.67) ^ 5.02)) +
1.41 * exp(-(abs((Z - 1.01) / 5.68) ^ 4.23 + abs(atan2(sin(atan2(Y, X) + -2.76), cos(atan2(Y, X) + -2.76)) / 2.82) ^ 6.20))))",0.78,0.62,0.50,0.034
